1763291482.729478 client started (454356): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1763291482.729548 on Linux 6.16.3-76061603-generic #202508231538~1758561135~22.04~171c8de SMP PREEMPT_DYNAMIC Mon S
1763291482.730239 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730240 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730242 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730244 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730245 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730246 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730248 sending message 112 to peer 0x630a558b0160 (11 bytes)
1763291482.730249 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730251 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730253 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730254 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730256 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730258 sending message 112 to peer 0x630a558b0160 (11 bytes)
1763291482.730260 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730261 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730263 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730264 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730265 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730266 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730267 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730268 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730269 sending message 112 to peer 0x630a558b0160 (9 bytes)
1763291482.730270 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730271 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730272 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730279 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730281 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730282 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730283 sending message 112 to peer 0x630a558b0160 (9 bytes)
1763291482.730287 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730288 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730289 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730290 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730291 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730292 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730293 sending message 112 to peer 0x630a558b0160 (11 bytes)
1763291482.730294 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730295 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730296 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730297 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730298 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730299 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730300 sending message 112 to peer 0x630a558b0160 (11 bytes)
1763291482.730301 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730302 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730303 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730304 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730305 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730306 sending message 112 to peer 0x630a558b0160 (21 bytes)
1763291482.730307 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730308 sending message 112 to peer 0x630a558b0160 (9 bytes)
1763291482.730309 sending message 112 to peer 0x630a558b0160 (6 bytes)
1763291482.730311 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730312 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730313 sending message 112 to peer 0x630a558b0160 (24 bytes)
1763291482.730314 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730315 sending message 112 to peer 0x630a558b0160 (9 bytes)
1763291482.730316 sending message 112 to peer 0x630a558b0160 (70 bytes)
1763291482.730317 sending message 112 to peer 0x630a558b0160 (69 bytes)
1763291482.730318 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730319 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730320 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730321 sending message 112 to peer 0x630a558b0160 (24 bytes)
1763291482.730322 sending message 112 to peer 0x630a558b0160 (13 bytes)
